Question,Products_name
Кусочек Песто Римская (4 кусочка),"[""Кус Песто Римская (4 кусочка)""]"
Электронная подарочная Додо–карта Small,"[""Электронная подарочная Додо–карта Small""]"
Ham and mushrooms Medium,"[""Ветчина и грибы Medium""]"
детская пицца и что-нибудт на завтрак,"[""Малиновое варенье"",""Пицца Миксик Small"",""Сырники с малиновым вареньем""]"
банановое мороженое не в вафельном стаканчике,"[""Мороженое в стаканчике с банановым топпингом""]"
большая пицца с голубым сыром,"[""Четыре сыра Large""]"
Pick me something with cinnamon for dodo pizza,"[""Додо Микс Medium"",""Рулетики с корицей""]"
Жевательная резинка «Love is...»,"[""Жевательная резинка «Love is...»""]"
Сырники с малиновым вареньем,"[""Сырники с малиновым вареньем""]"
"two daughters love pizza, less meat","[""Додо Микс Small"",""Сырная Small""]"
на одного,"[""Мясная Small""]"
big blue cheese pizza,"[""Четыре сыра Large""]"
хочу плотно позавтракать с пиццей,"[""Малиновое варенье"",""Сырная Small"",""Сырники с малиновым вареньем""]"
что-нибудь с ананасом или ягодами,"[""Слоеные палочки с ананасами и брусникой""]"
3 пиццы,"[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
"турецкий сорбет, мороженое","[""Сорбет Турецкий гранат с клубникой 1.0""]"
banana ice cream not in a waffle cup,"[""Мороженое в стаканчике с банановым топпингом""]"
хочу пиццу жульен,"[""Пицца Жюльен Medium""]"
Слоеные палочки с ананасами и шоколадным соусом,"[""Слоеные палочки с ананасами и шоколадным соусом""]"
сырники без ничего,"[""Сырники без топпинга 30.0""]"
чизкейк с бананом и шоколадом,"[""Чизкейк Банановый с шоколадным печеньем 100.0""]"
two medium vegan pizzas,"[""Овощи и грибы Medium"",""Четыре сезона  Medium""]"
коктейль с орео,"[""Коктейль с Орео 0.3""]"
пиццы с сырным соусом додстер и попить не газировку,"[""Додстер"",""Морс Вишня  0.45"",""Сырный соус Додо"",""Четыре сезона  Small""]"
dodster and something to drink,"[""Додстер"",""Коктейль Классический 0.3""]"
завтрак с пастой ,"[""Малиновое варенье"",""Паста Мясная"",""Сырники с малиновым вареньем""]"
Rich Tea Зеленый с манго 0.5,"[""Rich Tea Зеленый с манго 0.5""]"
Додо (без свинины) Large,"[""Додо (без свинины) Large""]"
Мясная Medium,"[""Мясная Medium""]"
Диабло Medium,"[""Диабло Medium""]"
вкусный напиток с пиццей,"[""Коктейль Шоколадный 0.3"",""Сырная Medium""]"
просто сырники,"[""Сырники без топпинга 130.0""]"
"посоветуйте, пожалуйста, сколько надо сырных пицц на двоих человек. Поменьше овощей и без гавядины. Не большие размеры","[""Сырный цыпленок Small"",""Четыре сыра Small""]"
две пеперрони,"[""Пепперони Medium""]"
большую колу и пиццу с четырьмя вкусами на одного ,"[""Добрый Кола Big"",""Четыре сезона  Small""]"
шоколадное мороженое не в вафельном стаканчике,"[""Мороженое в стаканчике с шоколадом""]"
клубничный коктейль,"[""Коктейль Клубничный (фризер) 0.3""]"
Маргарита Large,"[""Маргарита Large""]"
нужна пицца на двоих или троих человек,"[""Карбонара Small""]"
додчстер и латте,"[""Додстер"",""Кофе Латте 0.4""]"
Hawaiian and Max Size Chef,"[""Гавайская с альфредо Large"",""Пицца от шефа Large""]"
"нас двое, хотим разное что-то","[""Аррива! Small"",""Додо Small""]"
подбери комбо где будут 3 пиццы,"[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
коктейль с клубникой,"[""Коктейль Клубничный 0.3""]"
попить просто воды типо бонаквы,"[""Вода БонаАква негазированная  0.5""]"
две без лука на томатном соусе,"[""Ветчина и грибы Medium"",""Мясная Medium""]"
Кофе Капучино 0.2,"[""Кофе Капучино 0.2""]"
сырную и одну с грибами,"[""Ветчина и грибы Small"",""Сырная Small""]"
мороженое со вкусом манго в стаканчике,"[""Мороженое в стаканчике с манго и маракуйей""]"
